"Keyword","Service Category","Keyword Cluster","Location","Monthly Search Volume","Keyword Difficulty (KD)","CPC ($)","Competition Level","Search Intent","Commercial Intent Score","Lead Value Score","Opportunity Score","Top Competitors"
"website design bali","Web Design & Development","Service","Bali",320,11,1.19,"LOW","commercial",8,10,2327.27,""
"web development pricing bali","Web Design & Development","Commercial","Bali",440,31,4.02,"medium","transactional",10,10,1419.35,"Bali Web Developer | Island Media | 741 Studio"
"best web design bali","Web Design & Development","Comparison","Bali",580,35,3.28,"medium","commercial",8,10,1325.71,"Bali Web Design | Canggu Web Studio | Island Media | 741 Studio"
"web design bali","Web Design & Development","Service","Bali",320,20,1.19,"LOW","commercial",8,10,1280,""
"best web design agency bali","Web Design & Development","Comparison","Bali",530,37,3.62,"medium","commercial",8,10,1145.95,"Bali Web Design | Canggu Web Studio | Island Media | 741 Studio"
"web design cost bali","Web Design & Development","Commercial","Bali",560,49,3.35,"medium","transactional",10,10,1142.86,"Bali Web Design | Canggu Web Studio | Island Media | 741 Studio"
"premium web development studio bali","Web Design & Development","Service","Bali",460,33,3.55,"medium","commercial",8,10,1115.15,"Bali Web Developer | Island Media | 741 Studio"
"best web development bali","Web Design & Development","Comparison","Bali",460,37,3.57,"medium","commercial",8,10,994.59,"Bali Web Developer | Island Media | 741 Studio"
"best web designer bali","Web Design & Development","Comparison","Bali",530,43,3.36,"medium","commercial",8,10,986.05,"Bali Web Design | Canggu Web Studio | Island Media | 741 Studio"
"web design canggu","Web Design & Development","Service","Canggu",380,36,3.72,"medium","commercial",8,10,844.44,"Bali Web Design Canggu | Canggu Web Studio | Island Media Canggu | 741 Studio"
"cost to remove google reviews","Reputation Management & Review Removal","Commercial","Bali",140,15,6.68,"medium","transactional",10,9,840,"Reputation Defender | Review Eraser | 741 Studio"
"best remove google reviews bali","Reputation Management & Review Removal","Comparison","Bali",150,17,6.6,"medium","commercial",10,9,794.12,"Reputation Defender | Review Eraser | 741 Studio"
"google review removal bali","Reputation Management & Review Removal","Service","Bali",120,14,6.94,"medium","transactional",10,9,771.43,"741 Studio | Review Eraser"
"reputation management pricing bali","Reputation Management & Review Removal","Commercial","Bali",180,21,5.96,"medium","transactional",10,9,771.43,"Island Media | 741 Studio | Reputation Defender"
"best website design bali","Web Design & Development","Comparison","Bali",410,43,3.14,"medium","commercial",8,10,762.79,"Bali Web Design | Island Media"
"local seo bali","Local SEO & GBP Maps Optimization","Service","Bali",270,27,4.53,"medium","commercial",9,8,720,"SEO Agency Bali | 741 Studio | Bali SEO Services"
